route_id,service_id,trip_id
1,952,1110862
1,952,400857
10,1015,1510495
10,1051,818780
10,177,1513517
10,224,1525831
10,425,213369
10,464,117903
10,464,120836
10,464,1344521
10,464,1383517
10,464,1384845
10,464,1428164
10,464,1493663
10,464,1522810
10,464,1578735
10,464,1591855
10,464,255759
10,464,38324
10,464,811791
10,515,706538
10,537,64879
10,592,386988
10,60,58498
10,738,705401
10,880,1048835
10,890,1020540
100,1000,69844
100,1027,1565364
100,1054,219327
100,1060,682627
100,1065,413535
100,1066,554842
100,1104,1000241
100,1104,683139
100,1104,747514
100,1119,264295
100,1192,356470
100,1196,240618
100,1203,465216
100,131,560133
100,138,670242
100,150,1394443
100,150,1456186
100,150,1468630
100,150,1581749
100,150,262818
100,150,335359
100,150,670224
100,188,109498
100,19,1347657
100,216,1312919
100,227,1277109
100,249,480123
100,276,1331012
100,276,242726
100,295,46783
100,295,554791
100,295,661614
100,295,889086
100,322,1021927
100,401,630900
100,425,889810
100,522,1336498
100,553,1212189
100,553,1423786
100,553,970674
100,589,710625
100,590,368293
100,61,568199
100,61,844944
100,61,88743
100,614,1082678
100,614,151171
100,614,295301
100,626,760749
100,631,417056
100,631,721902
100,631,858264
100,633,521236
100,633,686803
100,672,570572
100,76,139244
100,76,483135
100,783,17853
100,8,165188
100,800,763589
100,818,1417496
100,819,765580
100,829,1515510
100,830,103060
100,841,1302453
100,841,229425
100,841,388446
100,857,1255764
100,875,1033795
100,875,113764
100,875,222064
100,875,473102
100,908,663936
100,963,1095573
100,972,846853
100,975,138613
100,988,1262751
101,1042,1406612
101,1047,46714
101,1049,1437732
101,112,1465034
101,112,881766
101,154,1207778
101,154,1285659
101,154,335592
101,154,412774
101,154,428333
101,154,480438
101,154,638893
101,16,543278
101,285,241775
101,306,1403090
101,334,1336891
101,4,1523087
101,4,876550
101,61,328591
101,786,1133766
101,825,413487
101,947,1540480
101,978,728814
101,996,220205
101,996,433188
101,996,937750
102,1141,928155
102,1175,832892
102,193,79135
102,232,300097
102,232,428969
102,254,1362686
102,286,935527
102,299,1540081
102,386,471043
102,397,1018282
102,516,1013358
102,530,647549
102,594,1551842
102,594,556093
102,61,1240626
102,61,1384611
102,61,428856
102,751,1467080
102,992,1353552
103,1000,576032
103,1064,401791
103,1081,145128
103,1100,1011193
103,1101,1211493
103,138,1146255
103,138,115359
103,138,1157915
103,138,1293436
103,138,1371848
103,138,1400225
103,138,256086
103,138,328219
103,138,36049
103,138,72805
103,138,789251
103,138,92521
103,138,934445
103,192,1384045
103,192,239587
103,193,1272077
103,193,217462
103,193,553048
103,193,764374
103,193,96743
103,2,334214
103,207,824788
103,249,286438
103,254,671425
103,254,67633
103,254,946202
103,284,1029087
103,284,1132276
103,284,1264914
103,284,1407299
103,284,1459951
103,284,23966
103,284,546795
103,284,58706
103,284,640540
103,284,851577
103,284,927837
103,284,998760
103,32,1200374
103,322,248465
103,371,26174
103,376,1503379
103,401,1090170
103,401,937032
103,535,1069857
103,535,1486628
103,535,383813
103,535,693968
103,537,825861
103,550,1424280
103,605,982012
103,631,562597
103,666,1343730
103,666,1542367
103,666,94452
103,776,171880
103,821,941887
103,834,679761
103,841,412900
103,841,748384
103,841,807460
103,871,1448965
103,91,1007980
104,102,651685
104,1039,1112160
104,1039,1480323
104,1048,1344235
104,1060,1089946
104,1060,1451751
104,1063,364053
104,1063,480545
104,1067,303443
104,1096,605224
104,1106,963905
104,1108,567677
104,1119,412197
104,1129,409472
104,1153,1476339
104,1153,315468
104,1169,984292
104,1185,334815
104,1193,1047841
104,1193,1354973
104,1193,1533624
104,1193,526758
104,1193,54467
104,1193,765676
104,1194,1041850
104,1211,931439
104,1213,526740
104,132,621110
104,132,828357
104,138,809433
104,138,826452
104,138,985857
104,156,1584254
104,156,632263
104,23,1566733
104,236,357854
104,242,375250
104,249,1195545
104,249,40328
104,255,1317346
104,267,47905
104,304,22860
104,304,99497
104,311,1328568
104,311,1379704
104,311,1588210
104,311,954354
104,312,1540988
104,332,582222
104,37,1248484
104,376,781817
104,443,1542849
104,450,1270133
104,459,703692
104,464,1219636
104,464,921013
104,489,1301605
104,523,219423
104,533,1476162
104,553,874288
104,59,233512
104,594,295444
104,626,1455091
104,633,597898
104,696,1009229
104,72,1049339
104,723,1252945
104,745,791420
104,751,808583
104,784,260825
104,793,1575901
104,826,1315270
104,826,1380322
104,826,646807
104,826,86876
104,839,979730
104,885,302845
104,885,562283
104,930,651590
104,934,1142291
104,94,1070326
104,951,162115
104,951,903710
104,956,93027
104,963,657512
104,967,1551252
104,98,1590753
104,985,697501
105,1005,1004486
105,1030,334577
105,1055,458462
105,1060,972011
105,1074,528074
105,1153,269831
105,1204,924705
105,131,835371
105,138,155191
105,161,759336
105,193,9392
105,275,1526457
105,307,33156
105,307,418597
105,319,641561
105,347,1000352
105,370,739104
105,376,106218
105,418,211614
105,422,1331652
105,439,31923
105,49,197704
105,497,929620
105,523,1107052
105,55,1212678
105,777,690913
105,835,277400
105,835,346702
105,908,356718
105,908,557038
105,94,504705
105,945,327268
105,98,377069
106,1060,1278006
106,1060,792256
106,1124,459566
106,1124,796121
106,132,1104042
106,457,232426
106,631,511691
106,741,1063026
106,741,635025
106,82,848979
106,841,908393
106,873,868035
11,1037,1544080
11,104,407121
11,1043,885631
11,1082,1164774
11,1108,1283667
11,1130,410155
11,13,1555058
11,156,376887
11,30,605438
11,327,892122
11,520,1062830
11,567,843139
11,628,1170758
11,75,1006464
11,816,1375871
11,83,575467
11,905,776248
12,104,156022
12,1185,1356804
12,1185,1471734
12,1185,650830
12,1185,823213
12,156,1161777
12,156,665115
12,171,362570
12,249,169628
12,249,898858
12,281,1263901
12,318,832528
12,322,735218
12,425,639476
12,464,1046736
12,464,1138858
12,464,1173632
12,464,1368612
12,464,1397713
12,464,1401862
12,49,1590865
12,500,1390019
12,553,714456
12,564,774551
12,646,577068
12,687,1232567
12,715,1353351
12,724,370470
12,733,596361
12,924,1368502
12,924,15862
12,924,804146
12,94,575949
12,963,1304013
13,1103,400743
13,1107,228096
13,1124,1350175
13,1185,1511219
13,1193,820276
13,154,687319
13,156,1465563
13,170,1465981
13,170,214874
13,249,274733
13,30,509781
13,306,347031
13,322,259789
13,356,6937
13,400,1513546
13,427,1142698
13,583,1238462
13,607,1368967
13,617,1176474
13,626,968479
13,72,259381
13,745,1143301
13,847,1008730
13,847,308730
13,855,234372
14,1026,1298839
14,1026,1388498
14,1060,172953
14,1060,2440
14,1060,637644
14,1153,378524
14,1153,746671
14,1166,523825
14,1185,928158
14,1192,736186
14,1203,137475
14,154,1157353
14,154,1255091
14,154,1348344
14,154,1497730
14,154,1532981
14,154,175521
14,154,253832
14,154,509772
14,154,723613
14,154,839783
14,154,876330
14,154,920293
14,16,587856
14,170,787679
14,191,579855
14,232,445021
14,242,24998
14,254,137451
14,255,426268
14,255,986362
14,263,807825
14,271,1006143
14,271,1163813
14,271,1177620
14,271,1534668
14,271,1538323
14,271,185619
14,271,201362
14,271,27360
14,271,861247
14,310,299304
14,322,454395
14,334,605260
14,334,656324
14,334,773251
14,334,911431
14,340,1197577
14,340,375434
14,340,505350
14,340,834316
14,425,967762
14,441,1504810
14,444,175108
14,467,637152
14,49,469737
14,49,814602
14,49,995433
14,514,297415
14,553,75404
14,554,1385126
14,617,102363
14,617,662843
14,657,891162
14,666,699133
14,666,765761
14,715,116383
14,715,713847
14,741,26375
14,811,1423881
14,821,984310
14,843,1002210
14,847,1228700
14,847,1288345
14,847,1391915
14,847,1573293
14,847,167384
14,847,296092
14,847,563395
14,87,1050525
14,887,1126752
14,887,1150352
14,887,1184490
14,887,1227518
14,887,844889
14,908,34999
14,94,136179
14,94,1433004
14,94,1441035
14,94,1533849
14,94,228741
14,94,390771
14,94,403394
14,94,421988
14,94,442359
14,94,471506
14,947,868462
14,963,555161
14,996,1266504
14,996,39680
14,996,465250
14,996,76858
14,996,921206
15,1093,1100324
15,1093,1107956
15,1093,1134507
15,1093,1262640
15,1093,325393
15,1099,843240
15,116,118629
15,116,871968
15,116,924906
15,116,995069
15,1192,1214338
15,1192,672196
15,154,1165801
15,154,118449
15,154,1289843
15,154,1323972
15,154,1500930
15,154,1543338
15,154,347799
15,154,360668
15,154,434009
15,154,463687
15,154,50391
15,154,50718
15,154,914824
15,154,955063
15,154,964886
15,261,669598
15,383,684125
15,425,1198
15,45,1383171
15,491,374566
15,498,1207833
15,498,406563
15,498,81273
15,567,1275314
15,567,1458649
15,567,1510488
15,567,16602
15,567,174541
15,567,293410
15,567,42467
15,567,552426
15,567,729687
15,60,644699
15,625,87418
15,67,1083958
15,67,1218658
15,67,1252207
15,67,142511
15,67,429662
15,67,541509
15,67,547652
15,67,766285
15,67,925829
15,678,1556213
15,744,301514
15,952,205427
16,1096,1018452
16,1096,131288
16,1096,206377
16,1096,314239
16,1096,523822
16,1096,58708
16,1096,619059
16,1185,1325837
16,307,846210
16,307,931028
16,338,1245262
16,476,1157867
16,658,1131201
16,695,1090561
16,695,1099647
16,695,1243301
16,695,1361877
16,695,1523279
16,695,691922
16,695,99949
16,698,1124334
16,698,1183489
16,698,1568914
16,698,244262
16,698,250477
16,698,529451
16,698,996342
16,74,98032
16,901,1128577
17,10,986374
17,1043,1046806
17,1060,1207653
17,1060,180956
17,1060,22496
17,1090,224193
17,111,1095193
17,111,695464
17,111,977388
17,1141,1324397
17,1179,1455692
17,1179,180205
17,1184,695053
17,1185,160034
17,1185,758277
17,1188,1223162
17,1192,428411
