route_id,service_id,trip_id
1,1701,10000
1,1701,1134115
1,1701,1138608
1,1701,1152820
1,1701,1168954
1,1701,1222128
1,1701,1288401
1,1701,1365384
1,1701,1397447
1,1701,1429950
1,1701,1473150
1,1701,1500272
1,1701,1520595
1,1701,1537060
1,1701,158153
1,1701,208092
1,1701,226023
1,1701,232527
1,1701,243471
1,1701,270198
1,1701,28426
1,1701,286685
1,1701,291803
1,1701,351239
1,1701,418778
1,1701,435238
1,1701,521751
1,1701,545921
1,1701,610305
1,1701,687854
1,1701,704269
1,1701,794372
1,1701,805274
1,1701,832165
1,1701,882750
1,1701,924917
1,1701,955176
1,4419,58026
1,4419,631074
1,464,488565
1,464,61118
1,464,995845
1,525,592770
10,3473,1137030
10,3473,1162762
10,3473,247971
10,4210,1454522
10,4210,194658
10,4373,1572447
10,494,628530
100,1701,221338
100,1701,354601
100,1720,101201
100,1720,1137973
100,1720,1167392
100,1720,1526802
100,1720,348925
100,1720,605376
100,1720,733103
100,1720,785061
100,1720,795024
100,1720,928040
100,1720,955790
100,1791,1070453
100,1791,113755
100,1791,1431340
100,1791,1484485
100,1791,1557622
100,1791,1568155
100,1791,203548
100,1791,479884
100,1791,815646
100,1791,823535
100,1791,909995
100,1791,914993
100,1979,1318332
100,1979,1325376
100,2072,766504
100,3444,1379451
100,3444,404478
100,464,686878
100,525,1460755
1000,2151,309932
1000,3492,1465941
1000,3496,1541630
1000,3690,723829
1000,441,411439
1000,4412,1228557
1001,1701,1009749
1001,1701,1019526
1001,1701,1043125
1001,1701,1073105
1001,1701,1076725
1001,1701,1118084
1001,1701,1125011
1001,1701,1130801
1001,1701,1143615
1001,1701,1155171
1001,1701,1160260
1001,1701,1170330
1001,1701,1179068
1001,1701,1240187
1001,1701,1252796
1001,1701,1260650
1001,1701,1277305
1001,1701,1278513
1001,1701,1291047
1001,1701,1326214
1001,1701,1339676
1001,1701,134591
1001,1701,1374553
1001,1701,1382462
1001,1701,1396075
1001,1701,140284
1001,1701,1406041
1001,1701,1409834
1001,1701,1410327
1001,1701,1519936
1001,1701,1525371
1001,1701,1530404
1001,1701,158187
1001,1701,167961
1001,1701,199308
1001,1701,254764
1001,1701,258802
1001,1701,281063
1001,1701,296831
1001,1701,304951
1001,1701,330367
1001,1701,357808
1001,1701,412494
1001,1701,421542
1001,1701,439681
1001,1701,459813
1001,1701,473965
1001,1701,478723
1001,1701,490683
1001,1701,498204
1001,1701,518763
1001,1701,555638
1001,1701,601234
1001,1701,617341
1001,1701,655410
1001,1701,665454
1001,1701,682078
1001,1701,688369
1001,1701,698979
1001,1701,707259
1001,1701,728050
1001,1701,744817
1001,1701,769615
1001,1701,789053
1001,1701,78927
1001,1701,817035
1001,1701,836551
1001,1701,837310
1001,1701,838136
1001,1701,840525
1001,1701,841517
1001,1701,843148
1001,1701,846960
1001,1701,863452
1001,1701,873462
1001,1701,884840
1001,1701,906677
1001,1701,907780
1001,1701,93293
1001,1701,950982
1001,1701,952273
1001,1701,952416
1001,2497,1182332
1001,2497,702638
1001,278,1353329
1001,278,541828
1001,3049,146617
1001,3525,1206912
1001,3525,555200
1001,464,1050397
1001,464,1108343
1001,464,1122485
1001,464,1141036
1001,464,1237707
1001,464,133110
1001,464,1353774
1001,464,1416760
1001,464,306104
1001,464,379050
1001,464,453071
1001,464,592027
1001,464,698829
1001,464,726663
1001,464,758016
1001,464,8101
1001,464,869129
1001,49,1104048
1001,49,1185833
1001,525,1028983
1001,525,1210466
1001,525,1261585
1001,525,1434163
1001,525,1570273
1001,525,393167
1001,525,457886
1001,525,647386
1001,525,7886
1002,108,1104493
1002,108,273921
1002,1143,1130197
1002,1143,1471013
1002,1701,1149816
1002,1701,1196521
1002,1701,132627
1002,1701,1358655
1002,1701,419328
1002,1701,493102
1002,1701,518925
1002,1701,779295
1002,1701,794331
1002,1701,966743
1002,2141,106558
1002,2328,862822
1002,2328,948277
1002,2848,521128
1002,2848,87393
1002,2872,1506117
1002,2872,825620
1002,3040,50521
1002,3047,1133331
1002,3047,1241516
1002,3047,469732
1002,3370,627729
1002,3430,467895
1002,3430,473097
1002,3531,338615
1002,4210,397538
1002,4252,683039
1002,464,341141
1002,464,905877
1002,525,284252
1002,567,511788
1003,1655,385342
1003,1790,922040
1003,1791,829341
1003,2648,1283939
1003,2648,1383125
1003,2648,246712
1003,2648,459230
1003,2660,95471
1003,2766,1211632
1003,2766,1523555
1003,2766,61489
1003,2766,767099
1003,2794,230240
1003,284,93789
1003,464,346792
1003,464,559170
1004,1241,951830
1004,762,958534
1005,1241,1086892
1005,1241,1088359
1005,1241,110717
1005,1241,1122187
1005,1241,1157769
1005,1241,116978
1005,1241,1248050
1005,1241,1322390
1005,1241,1332274
1005,1241,1394771
1005,1241,1461156
1005,1241,1467150
1005,1241,1544293
1005,1241,1555405
1005,1241,169836
1005,1241,193946
1005,1241,219498
1005,1241,226261
1005,1241,260318
1005,1241,327289
1005,1241,37987
1005,1241,381491
1005,1241,599422
1005,1241,618941
1005,1241,665834
1005,1241,705279
1005,1241,766684
1005,1241,785446
1005,1241,849064
1005,1241,875101
1005,1241,875776
1005,1241,919947
1005,1241,975234
1005,1241,992558
1005,1241,99487
1005,1351,352057
1005,1701,1015359
1005,1701,104382
1005,1701,109795
